scenario_id,model,threshold_delta_uno_c,scenario_rate,replicates
CORE_0016,A2,-0.03,0.26,200
CORE_0016,A2,-0.04,0.175,200
CORE_0016,A2,-0.05,0.125,200
CORE_0016,A2,-0.06,0.09,200
CORE_0016,A3,-0.01,0.895,200
CORE_0016,A3,-0.02,0.81,200
CORE_0016,A3,-0.03,0.66,200
CORE_0016,A3,-0.04,0.455,200
CORE_0016,A3,-0.05,0.305,200
CORE_0016,A3,-0.06,0.165,200
CORE_0017,A2,-0.01,0.08,200
CORE_0017,A2,-0.02,0.065,200
CORE_0017,A2,-0.03,0.045,200
CORE_0017,A2,-0.04,0.045,200
CORE_0017,A2,-0.05,0.03,200
CORE_0017,A2,-0.06,0.025,200
CORE_0017,A3,-0.01,0.99,200
CORE_0017,A3,-0.02,0.95,200
CORE_0017,A3,-0.03,0.895,200
CORE_0017,A3,-0.04,0.77,200
CORE_0017,A3,-0.05,0.66,200
CORE_0017,A3,-0.06,0.535,200
CORE_0018,A2,-0.01,0.085,200
CORE_0018,A2,-0.02,0.065,200
CORE_0018,A2,-0.03,0.04,200
CORE_0018,A2,-0.04,0.03,200
CORE_0018,A2,-0.05,0.02,200
CORE_0018,A2,-0.06,0.015,200
CORE_0018,A3,-0.01,0.06,200
CORE_0018,A3,-0.02,0.03,200
CORE_0018,A3,-0.03,0.025,200
CORE_0018,A3,-0.04,0.015,200
CORE_0018,A3,-0.05,0.01,200
CORE_0018,A3,-0.06,0,200
CORE_0019,A2,-0.01,0.17,200
CORE_0019,A2,-0.02,0.13,200
CORE_0019,A2,-0.03,0.095,200
CORE_0019,A2,-0.04,0.07,200
CORE_0019,A2,-0.05,0.06,200
CORE_0019,A2,-0.06,0.045,200
CORE_0019,A3,-0.01,0.05,200
CORE_0019,A3,-0.02,0.025,200
CORE_0019,A3,-0.03,0.005,200
CORE_0019,A3,-0.04,0,200
CORE_0019,A3,-0.05,0,200
CORE_0019,A3,-0.06,0,200
CORE_0020,A2,-0.01,0.38,200
CORE_0020,A2,-0.02,0.29,200
CORE_0020,A2,-0.03,0.22,200
CORE_0020,A2,-0.04,0.155,200
CORE_0020,A2,-0.05,0.11,200
CORE_0020,A2,-0.06,0.05,200
CORE_0020,A3,-0.01,0.105,200
CORE_0020,A3,-0.02,0.06,200
CORE_0020,A3,-0.03,0.03,200
CORE_0020,A3,-0.04,0.005,200
CORE_0020,A3,-0.05,0,200
CORE_0020,A3,-0.06,0,200
CORE_0021,A2,-0.01,0.535,200
CORE_0021,A2,-0.02,0.45,200
CORE_0021,A2,-0.03,0.375,200
CORE_0021,A2,-0.04,0.275,200
CORE_0021,A2,-0.05,0.165,200
CORE_0021,A2,-0.06,0.105,200
CORE_0021,A3,-0.01,0.495,200
CORE_0021,A3,-0.02,0.325,200
CORE_0021,A3,-0.03,0.205,200
CORE_0021,A3,-0.04,0.11,200
CORE_0021,A3,-0.05,0.035,200
CORE_0021,A3,-0.06,0.005,200
CORE_0022,A2,-0.01,0.35,200
CORE_0022,A2,-0.02,0.27,200
CORE_0022,A2,-0.03,0.205,200
CORE_0022,A2,-0.04,0.15,200
CORE_0022,A2,-0.05,0.09,200
CORE_0022,A2,-0.06,0.06,200
CORE_0022,A3,-0.01,0.835,200
CORE_0022,A3,-0.02,0.69,200
CORE_0022,A3,-0.03,0.56,200
CORE_0022,A3,-0.04,0.39,200
CORE_0022,A3,-0.05,0.23,200
CORE_0022,A3,-0.06,0.13,200
CORE_0023,A2,-0.01,0.06,200
CORE_0023,A2,-0.02,0.045,200
CORE_0023,A2,-0.03,0.025,200
CORE_0023,A2,-0.04,0.025,200
CORE_0023,A2,-0.05,0.02,200
CORE_0023,A2,-0.06,0.015,200
CORE_0023,A3,-0.01,0.985,200
CORE_0023,A3,-0.02,0.925,200
CORE_0023,A3,-0.03,0.85,200
CORE_0023,A3,-0.04,0.72,200
CORE_0023,A3,-0.05,0.56,200
CORE_0023,A3,-0.06,0.445,200
CORE_0024,A2,-0.01,0.05,200
CORE_0024,A2,-0.02,0.045,200
CORE_0024,A2,-0.03,0.025,200
CORE_0024,A2,-0.04,0.02,200
CORE_0024,A2,-0.05,0.005,200
CORE_0024,A2,-0.06,0.005,200
CORE_0024,A3,-0.01,0.075,200
CORE_0024,A3,-0.02,0.04,200
CORE_0024,A3,-0.03,0.035,200
CORE_0024,A3,-0.04,0.01,200
CORE_0024,A3,-0.05,0,200
CORE_0024,A3,-0.06,0,200
CORE_0025,A2,-0.01,0.125,200
CORE_0025,A2,-0.02,0.1,200
CORE_0025,A2,-0.03,0.075,200
CORE_0025,A2,-0.04,0.045,200
CORE_0025,A2,-0.05,0.025,200
CORE_0025,A2,-0.06,0.015,200
CORE_0025,A3,-0.01,0.065,200
CORE_0025,A3,-0.02,0.03,200
CORE_0025,A3,-0.03,0.01,200
CORE_0025,A3,-0.04,0.005,200
CORE_0025,A3,-0.05,0.005,200
CORE_0025,A3,-0.06,0,200
CORE_0026,A2,-0.01,0.36,200
CORE_0026,A2,-0.02,0.285,200
CORE_0026,A2,-0.03,0.195,200
CORE_0026,A2,-0.04,0.15,200
CORE_0026,A2,-0.05,0.12,200
CORE_0026,A2,-0.06,0.07,200
CORE_0026,A3,-0.01,0.14,200
CORE_0026,A3,-0.02,0.075,200
CORE_0026,A3,-0.03,0.04,200
CORE_0026,A3,-0.04,0.005,200
CORE_0026,A3,-0.05,0,200
CORE_0026,A3,-0.06,0,200
CORE_0027,A2,-0.01,0.46,200
CORE_0027,A2,-0.02,0.325,200
CORE_0027,A2,-0.03,0.24,200
CORE_0027,A2,-0.04,0.175,200
CORE_0027,A2,-0.05,0.115,200
CORE_0027,A2,-0.06,0.065,200
CORE_0027,A3,-0.01,0.43,200
CORE_0027,A3,-0.02,0.29,200
CORE_0027,A3,-0.03,0.165,200
CORE_0027,A3,-0.04,0.075,200
CORE_0027,A3,-0.05,0.02,200
CORE_0027,A3,-0.06,0.005,200
CORE_0028,A2,-0.01,0.315,200
CORE_0028,A2,-0.02,0.22,200
CORE_0028,A2,-0.03,0.165,200
CORE_0028,A2,-0.04,0.125,200
CORE_0028,A2,-0.05,0.105,200
CORE_0028,A2,-0.06,0.08,200
CORE_0028,A3,-0.01,0.74,200
CORE_0028,A3,-0.02,0.53,200
CORE_0028,A3,-0.03,0.34,200
CORE_0028,A3,-0.04,0.19,200
CORE_0028,A3,-0.05,0.1,200
CORE_0028,A3,-0.06,0.05,200
CORE_0029,A2,-0.01,0.075,200
CORE_0029,A2,-0.02,0.035,200
CORE_0029,A2,-0.03,0.015,200
CORE_0029,A2,-0.04,0.01,200
CORE_0029,A2,-0.05,0.01,200
CORE_0029,A2,-0.06,0.01,200
CORE_0029,A3,-0.01,0.9,200
CORE_0029,A3,-0.02,0.815,200
CORE_0029,A3,-0.03,0.72,200
CORE_0029,A3,-0.04,0.54,200
CORE_0029,A3,-0.05,0.415,200
CORE_0029,A3,-0.06,0.255,200
CORE_0030,A2,-0.01,0.08,200
CORE_0030,A2,-0.02,0.045,200
CORE_0030,A2,-0.03,0.025,200
CORE_0030,A2,-0.04,0.015,200
CORE_0030,A2,-0.05,0.015,200
CORE_0030,A2,-0.06,0.01,200
CORE_0030,A3,-0.01,0.135,200
CORE_0030,A3,-0.02,0.06,200
CORE_0030,A3,-0.03,0.035,200
CORE_0030,A3,-0.04,0.015,200
CORE_0030,A3,-0.05,0.005,200
CORE_0030,A3,-0.06,0,200
CORE_0031,A2,-0.01,0.125,200
CORE_0031,A2,-0.02,0.07,200
CORE_0031,A2,-0.03,0.035,200
CORE_0031,A2,-0.04,0.025,200
CORE_0031,A2,-0.05,0.01,200
CORE_0031,A2,-0.06,0.01,200
CORE_0031,A3,-0.01,0.1,200
CORE_0031,A3,-0.02,0.03,200
CORE_0031,A3,-0.03,0.005,200
CORE_0031,A3,-0.04,0,200
CORE_0031,A3,-0.05,0,200
CORE_0031,A3,-0.06,0,200
CORE_0032,A2,-0.01,0.35,200
CORE_0032,A2,-0.02,0.22,200
CORE_0032,A2,-0.03,0.14,200
CORE_0032,A2,-0.04,0.11,200
CORE_0032,A2,-0.05,0.08,200
CORE_0032,A2,-0.06,0.06,200
CORE_0032,A3,-0.01,0.13,200
CORE_0032,A3,-0.02,0.08,200
CORE_0032,A3,-0.03,0.05,200
CORE_0032,A3,-0.04,0.01,200
CORE_0032,A3,-0.05,0.01,200
CORE_0032,A3,-0.06,0,200
CORE_0033,A2,-0.01,0.49,200
CORE_0033,A2,-0.02,0.355,200
CORE_0033,A2,-0.03,0.255,200
CORE_0033,A2,-0.04,0.175,200
CORE_0033,A2,-0.05,0.085,200
CORE_0033,A2,-0.06,0.06,200
CORE_0033,A3,-0.01,0.405,200
CORE_0033,A3,-0.02,0.26,200
CORE_0033,A3,-0.03,0.13,200
CORE_0033,A3,-0.04,0.075,200
CORE_0033,A3,-0.05,0.03,200
CORE_0033,A3,-0.06,0.01,200
CORE_0034,A2,-0.01,0.215,200
CORE_0034,A2,-0.02,0.16,200
CORE_0034,A2,-0.03,0.13,200
CORE_0034,A2,-0.04,0.11,200
CORE_0034,A2,-0.05,0.075,200
CORE_0034,A2,-0.06,0.05,200
CORE_0034,A3,-0.01,0.64,200
CORE_0034,A3,-0.02,0.39,200
CORE_0034,A3,-0.03,0.2,200
CORE_0034,A3,-0.04,0.1,200
CORE_0034,A3,-0.05,0.05,200
CORE_0034,A3,-0.06,0.025,200
CORE_0035,A2,-0.01,0.045,200
CORE_0035,A2,-0.02,0.02,200
CORE_0035,A2,-0.03,0.02,200
CORE_0035,A2,-0.04,0.005,200
CORE_0035,A2,-0.05,0,200
CORE_0035,A2,-0.06,0,200
CORE_0035,A3,-0.01,0.775,200
CORE_0035,A3,-0.02,0.595,200
CORE_0035,A3,-0.03,0.465,200
CORE_0035,A3,-0.04,0.365,200
CORE_0035,A3,-0.05,0.24,200
CORE_0035,A3,-0.06,0.155,200
STRESS_0036,A2,-0.01,0.36,100
STRESS_0036,A2,-0.02,0.3,100
STRESS_0036,A2,-0.03,0.18,100
STRESS_0036,A2,-0.04,0.15,100
STRESS_0036,A2,-0.05,0.08,100
STRESS_0036,A2,-0.06,0.05,100
STRESS_0036,A3,-0.01,0.1,100
STRESS_0036,A3,-0.02,0.04,100
STRESS_0036,A3,-0.03,0.02,100
STRESS_0036,A3,-0.04,0,100
STRESS_0036,A3,-0.05,0,100
STRESS_0036,A3,-0.06,0,100
STRESS_0037,A2,-0.01,0.43,100
STRESS_0037,A2,-0.02,0.31,100
STRESS_0037,A2,-0.03,0.19,100
STRESS_0037,A2,-0.04,0.13,100
STRESS_0037,A2,-0.05,0.08,100
STRESS_0037,A2,-0.06,0.03,100
STRESS_0037,A3,-0.01,0.1,100
STRESS_0037,A3,-0.02,0.05,100
STRESS_0037,A3,-0.03,0.02,100
STRESS_0037,A3,-0.04,0,100
STRESS_0037,A3,-0.05,0,100
STRESS_0037,A3,-0.06,0,100
STRESS_0038,A2,-0.01,0.46,100
STRESS_0038,A2,-0.02,0.36,100
STRESS_0038,A2,-0.03,0.3,100
STRESS_0038,A2,-0.04,0.2,100
STRESS_0038,A2,-0.05,0.11,100
STRESS_0038,A2,-0.06,0.1,100
STRESS_0038,A3,-0.01,0.12,100
STRESS_0038,A3,-0.02,0.05,100
STRESS_0038,A3,-0.03,0.03,100
STRESS_0038,A3,-0.04,0.01,100
STRESS_0038,A3,-0.05,0.01,100
STRESS_0038,A3,-0.06,0,100
STRESS_0039,A2,-0.01,0.4,100
STRESS_0039,A2,-0.02,0.28,100
STRESS_0039,A2,-0.03,0.21,100
STRESS_0039,A2,-0.04,0.14,100
STRESS_0039,A2,-0.05,0.08,100
STRESS_0039,A2,-0.06,0.06,100
STRESS_0039,A3,-0.01,0.11,100
STRESS_0039,A3,-0.02,0.08,100
STRESS_0039,A3,-0.03,0.04,100
STRESS_0039,A3,-0.04,0,100
STRESS_0039,A3,-0.05,0,100
STRESS_0039,A3,-0.06,0,100
STRESS_0040,A2,-0.01,0.37,100
STRESS_0040,A2,-0.02,0.26,100
STRESS_0040,A2,-0.03,0.16,100
STRESS_0040,A2,-0.04,0.11,100
STRESS_0040,A2,-0.05,0.09,100
STRESS_0040,A2,-0.06,0.06,100
STRESS_0040,A3,-0.01,0.11,100
STRESS_0040,A3,-0.02,0.06,100
STRESS_0040,A3,-0.03,0.02,100
STRESS_0040,A3,-0.04,0,100
STRESS_0040,A3,-0.05,0,100
STRESS_0040,A3,-0.06,0,100
STRESS_0041,A2,-0.01,0.38,100
STRESS_0041,A2,-0.02,0.27,100
STRESS_0041,A2,-0.03,0.22,100
STRESS_0041,A2,-0.04,0.16,100
STRESS_0041,A2,-0.05,0.07,100
STRESS_0041,A2,-0.06,0.04,100
STRESS_0041,A3,-0.01,0.13,100
STRESS_0041,A3,-0.02,0.05,100
STRESS_0041,A3,-0.03,0.02,100
STRESS_0041,A3,-0.04,0,100
STRESS_0041,A3,-0.05,0,100
STRESS_0041,A3,-0.06,0,100
STRESS_0042,A2,-0.01,0.41,100
STRESS_0042,A2,-0.02,0.25,100
STRESS_0042,A2,-0.03,0.14,100
STRESS_0042,A2,-0.04,0.07,100
STRESS_0042,A2,-0.05,0.04,100
STRESS_0042,A2,-0.06,0.02,100
STRESS_0042,A3,-0.01,0.1,100
STRESS_0042,A3,-0.02,0.09,100
STRESS_0042,A3,-0.03,0.03,100
STRESS_0042,A3,-0.04,0.01,100
STRESS_0042,A3,-0.05,0,100
STRESS_0042,A3,-0.06,0,100
STRESS_0043,A2,-0.01,0.43,100
STRESS_0043,A2,-0.02,0.3,100
STRESS_0043,A2,-0.03,0.22,100
STRESS_0043,A2,-0.04,0.17,100
STRESS_0043,A2,-0.05,0.12,100
STRESS_0043,A2,-0.06,0.09,100
STRESS_0043,A3,-0.01,0.1,100
STRESS_0043,A3,-0.02,0.06,100
STRESS_0043,A3,-0.03,0.01,100
STRESS_0043,A3,-0.04,0,100
STRESS_0043,A3,-0.05,0,100
STRESS_0043,A3,-0.06,0,100
STRESS_0044,A2,-0.01,0.43,100
STRESS_0044,A2,-0.02,0.33,100
STRESS_0044,A2,-0.03,0.23,100
STRESS_0044,A2,-0.04,0.14,100
STRESS_0044,A2,-0.05,0.09,100
STRESS_0044,A2,-0.06,0.05,100
STRESS_0044,A3,-0.01,0.07,100
STRESS_0044,A3,-0.02,0.06,100
STRESS_0044,A3,-0.03,0.04,100
STRESS_0044,A3,-0.04,0.03,100
STRESS_0044,A3,-0.05,0.01,100
STRESS_0044,A3,-0.06,0.01,100
STRESS_0045,A2,-0.01,0.49,100
STRESS_0045,A2,-0.02,0.38,100
