scenario_id,model,threshold_delta_uno_c,scenario_rate,replicates
STRESS_0108,A2,-0.02,0.22,100
STRESS_0108,A2,-0.03,0.14,100
STRESS_0108,A2,-0.04,0.07,100
STRESS_0108,A2,-0.05,0.06,100
STRESS_0108,A2,-0.06,0.04,100
STRESS_0108,A3,-0.01,0.18,100
STRESS_0108,A3,-0.02,0.08,100
STRESS_0108,A3,-0.03,0.03,100
STRESS_0108,A3,-0.04,0.03,100
STRESS_0108,A3,-0.05,0.01,100
STRESS_0108,A3,-0.06,0.01,100
STRESS_0109,A2,-0.01,0.26,100
STRESS_0109,A2,-0.02,0.21,100
STRESS_0109,A2,-0.03,0.16,100
STRESS_0109,A2,-0.04,0.13,100
STRESS_0109,A2,-0.05,0.07,100
STRESS_0109,A2,-0.06,0.06,100
STRESS_0109,A3,-0.01,0.14,100
STRESS_0109,A3,-0.02,0.08,100
STRESS_0109,A3,-0.03,0.03,100
STRESS_0109,A3,-0.04,0.02,100
STRESS_0109,A3,-0.05,0.02,100
STRESS_0109,A3,-0.06,0.02,100
STRESS_0110,A2,-0.01,0.3,100
STRESS_0110,A2,-0.02,0.22,100
STRESS_0110,A2,-0.03,0.18,100
STRESS_0110,A2,-0.04,0.1,100
STRESS_0110,A2,-0.05,0.05,100
STRESS_0110,A2,-0.06,0.03,100
STRESS_0110,A3,-0.01,0.12,100
STRESS_0110,A3,-0.02,0.06,100
STRESS_0110,A3,-0.03,0.04,100
STRESS_0110,A3,-0.04,0.02,100
STRESS_0110,A3,-0.05,0,100
STRESS_0110,A3,-0.06,0,100
STRESS_0111,A2,-0.01,0.26,100
STRESS_0111,A2,-0.02,0.2,100
STRESS_0111,A2,-0.03,0.17,100
STRESS_0111,A2,-0.04,0.09,100
STRESS_0111,A2,-0.05,0.06,100
STRESS_0111,A2,-0.06,0.05,100
STRESS_0111,A3,-0.01,0.07,100
STRESS_0111,A3,-0.02,0.03,100
STRESS_0111,A3,-0.03,0.01,100
STRESS_0111,A3,-0.04,0,100
STRESS_0111,A3,-0.05,0,100
STRESS_0111,A3,-0.06,0,100
STRESS_0112,A2,-0.01,0.36,100
STRESS_0112,A2,-0.02,0.26,100
STRESS_0112,A2,-0.03,0.18,100
STRESS_0112,A2,-0.04,0.14,100
STRESS_0112,A2,-0.05,0.08,100
STRESS_0112,A2,-0.06,0.06,100
STRESS_0112,A3,-0.01,0.09,100
STRESS_0112,A3,-0.02,0.06,100
STRESS_0112,A3,-0.03,0.03,100
STRESS_0112,A3,-0.04,0.03,100
STRESS_0112,A3,-0.05,0.03,100
STRESS_0112,A3,-0.06,0.01,100
STRESS_0113,A2,-0.01,0.31,100
STRESS_0113,A2,-0.02,0.23,100
STRESS_0113,A2,-0.03,0.16,100
STRESS_0113,A2,-0.04,0.11,100
STRESS_0113,A2,-0.05,0.08,100
STRESS_0113,A2,-0.06,0.03,100
STRESS_0113,A3,-0.01,0.21,100
STRESS_0113,A3,-0.02,0.11,100
STRESS_0113,A3,-0.03,0.05,100
STRESS_0113,A3,-0.04,0.01,100
STRESS_0113,A3,-0.05,0.01,100
STRESS_0113,A3,-0.06,0.01,100
STRESS_0114,A2,-0.01,0.3,100
STRESS_0114,A2,-0.02,0.21,100
STRESS_0114,A2,-0.03,0.14,100
STRESS_0114,A2,-0.04,0.05,100
STRESS_0114,A2,-0.05,0.04,100
STRESS_0114,A2,-0.06,0.02,100
STRESS_0114,A3,-0.01,0.11,100
STRESS_0114,A3,-0.02,0.02,100
STRESS_0114,A3,-0.03,0,100
STRESS_0114,A3,-0.04,0,100
STRESS_0114,A3,-0.05,0,100
STRESS_0114,A3,-0.06,0,100
STRESS_0115,A2,-0.01,0.37,100
STRESS_0115,A2,-0.02,0.23,100
STRESS_0115,A2,-0.03,0.17,100
STRESS_0115,A2,-0.04,0.07,100
STRESS_0115,A2,-0.05,0.04,100
STRESS_0115,A2,-0.06,0.03,100
STRESS_0115,A3,-0.01,0.15,100
STRESS_0115,A3,-0.02,0.06,100
STRESS_0115,A3,-0.03,0,100
STRESS_0115,A3,-0.04,0,100
STRESS_0115,A3,-0.05,0,100
STRESS_0115,A3,-0.06,0,100
STRESS_0116,A2,-0.01,0.41,100
STRESS_0116,A2,-0.02,0.28,100
STRESS_0116,A2,-0.03,0.2,100
STRESS_0116,A2,-0.04,0.12,100
STRESS_0116,A2,-0.05,0.08,100
STRESS_0116,A2,-0.06,0.06,100
STRESS_0116,A3,-0.01,0.16,100
STRESS_0116,A3,-0.02,0.12,100
STRESS_0116,A3,-0.03,0.06,100
STRESS_0116,A3,-0.04,0.02,100
STRESS_0116,A3,-0.05,0,100
STRESS_0116,A3,-0.06,0,100
STRESS_0117,A2,-0.01,0.33,100
STRESS_0117,A2,-0.02,0.23,100
STRESS_0117,A2,-0.03,0.16,100
STRESS_0117,A2,-0.04,0.09,100
STRESS_0117,A2,-0.05,0.05,100
STRESS_0117,A2,-0.06,0.03,100
STRESS_0117,A3,-0.01,0.14,100
STRESS_0117,A3,-0.02,0.1,100
STRESS_0117,A3,-0.03,0.05,100
STRESS_0117,A3,-0.04,0.01,100
STRESS_0117,A3,-0.05,0.01,100
STRESS_0117,A3,-0.06,0,100
STRESS_0118,A2,-0.01,0.38,100
STRESS_0118,A2,-0.02,0.28,100
STRESS_0118,A2,-0.03,0.14,100
STRESS_0118,A2,-0.04,0.1,100
STRESS_0118,A2,-0.05,0.07,100
STRESS_0118,A2,-0.06,0.04,100
STRESS_0118,A3,-0.01,0.24,100
STRESS_0118,A3,-0.02,0.12,100
STRESS_0118,A3,-0.03,0.08,100
STRESS_0118,A3,-0.04,0.03,100
STRESS_0118,A3,-0.05,0.02,100
STRESS_0118,A3,-0.06,0,100
STRESS_0119,A2,-0.01,0.38,100
STRESS_0119,A2,-0.02,0.29,100
STRESS_0119,A2,-0.03,0.2,100
STRESS_0119,A2,-0.04,0.15,100
STRESS_0119,A2,-0.05,0.06,100
STRESS_0119,A2,-0.06,0.04,100
STRESS_0119,A3,-0.01,0.37,100
STRESS_0119,A3,-0.02,0.26,100
STRESS_0119,A3,-0.03,0.2,100
STRESS_0119,A3,-0.04,0.14,100
STRESS_0119,A3,-0.05,0.06,100
STRESS_0119,A3,-0.06,0.04,100
STRESS_0120,A2,-0.01,0.4,100
STRESS_0120,A2,-0.02,0.28,100
STRESS_0120,A2,-0.03,0.2,100
STRESS_0120,A2,-0.04,0.13,100
STRESS_0120,A2,-0.05,0.11,100
STRESS_0120,A2,-0.06,0.07,100
STRESS_0120,A3,-0.01,0.16,100
STRESS_0120,A3,-0.02,0.06,100
STRESS_0120,A3,-0.03,0.03,100
STRESS_0120,A3,-0.04,0.02,100
STRESS_0120,A3,-0.05,0.01,100
STRESS_0120,A3,-0.06,0.01,100
STRESS_0121,A2,-0.01,0.43,100
STRESS_0121,A2,-0.02,0.28,100
STRESS_0121,A2,-0.03,0.23,100
STRESS_0121,A2,-0.04,0.16,100
STRESS_0121,A2,-0.05,0.11,100
STRESS_0121,A2,-0.06,0.06,100
STRESS_0121,A3,-0.01,0.34,100
STRESS_0121,A3,-0.02,0.13,100
STRESS_0121,A3,-0.03,0.05,100
STRESS_0121,A3,-0.04,0.02,100
STRESS_0121,A3,-0.05,0.01,100
STRESS_0121,A3,-0.06,0,100
STRESS_0122,A2,-0.01,0.33,100
STRESS_0122,A2,-0.02,0.26,100
STRESS_0122,A2,-0.03,0.16,100
STRESS_0122,A2,-0.04,0.14,100
STRESS_0122,A2,-0.05,0.12,100
STRESS_0122,A2,-0.06,0.05,100
STRESS_0122,A3,-0.01,0.33,100
STRESS_0122,A3,-0.02,0.23,100
STRESS_0122,A3,-0.03,0.16,100
STRESS_0122,A3,-0.04,0.1,100
STRESS_0122,A3,-0.05,0.06,100
STRESS_0122,A3,-0.06,0.04,100
STRESS_0123,A2,-0.01,0.38,100
STRESS_0123,A2,-0.02,0.32,100
STRESS_0123,A2,-0.03,0.21,100
STRESS_0123,A2,-0.04,0.14,100
STRESS_0123,A2,-0.05,0.08,100
STRESS_0123,A2,-0.06,0.03,100
STRESS_0123,A3,-0.01,0.25,100
STRESS_0123,A3,-0.02,0.17,100
STRESS_0123,A3,-0.03,0.1,100
STRESS_0123,A3,-0.04,0.06,100
STRESS_0123,A3,-0.05,0.04,100
STRESS_0123,A3,-0.06,0.03,100
STRESS_0124,A2,-0.01,0.4,100
STRESS_0124,A2,-0.02,0.25,100
STRESS_0124,A2,-0.03,0.2,100
STRESS_0124,A2,-0.04,0.13,100
STRESS_0124,A2,-0.05,0.06,100
STRESS_0124,A2,-0.06,0.05,100
STRESS_0124,A3,-0.01,0.3,100
STRESS_0124,A3,-0.02,0.18,100
STRESS_0124,A3,-0.03,0.1,100
STRESS_0124,A3,-0.04,0.06,100
STRESS_0124,A3,-0.05,0.02,100
STRESS_0124,A3,-0.06,0.02,100
STRESS_0125,A2,-0.01,0.38,100
STRESS_0125,A2,-0.02,0.23,100
STRESS_0125,A2,-0.03,0.15,100
STRESS_0125,A2,-0.04,0.1,100
STRESS_0125,A2,-0.05,0.06,100
STRESS_0125,A2,-0.06,0.03,100
STRESS_0125,A3,-0.01,0.46,100
STRESS_0125,A3,-0.02,0.29,100
STRESS_0125,A3,-0.03,0.23,100
STRESS_0125,A3,-0.04,0.18,100
STRESS_0125,A3,-0.05,0.07,100
STRESS_0125,A3,-0.06,0.05,100
STRESS_0126,A2,-0.01,0.17,100
STRESS_0126,A2,-0.02,0.07,100
STRESS_0126,A2,-0.03,0.04,100
STRESS_0126,A2,-0.04,0.03,100
STRESS_0126,A2,-0.05,0.03,100
STRESS_0126,A2,-0.06,0.02,100
STRESS_0126,A3,-0.01,0.98,100
STRESS_0126,A3,-0.02,0.97,100
STRESS_0126,A3,-0.03,0.88,100
STRESS_0126,A3,-0.04,0.78,100
STRESS_0126,A3,-0.05,0.63,100
STRESS_0126,A3,-0.06,0.5,100
STRESS_0127,A2,-0.01,0.11,100
STRESS_0127,A2,-0.02,0.08,100
STRESS_0127,A2,-0.03,0.05,100
STRESS_0127,A2,-0.04,0.03,100
STRESS_0127,A2,-0.05,0.02,100
STRESS_0127,A2,-0.06,0,100
STRESS_0127,A3,-0.01,0.9,100
STRESS_0127,A3,-0.02,0.87,100
STRESS_0127,A3,-0.03,0.79,100
STRESS_0127,A3,-0.04,0.66,100
STRESS_0127,A3,-0.05,0.51,100
STRESS_0127,A3,-0.06,0.43,100
STRESS_0128,A2,-0.01,0.12,100
STRESS_0128,A2,-0.02,0.08,100
STRESS_0128,A2,-0.03,0.04,100
STRESS_0128,A2,-0.04,0.02,100
STRESS_0128,A2,-0.05,0.01,100
STRESS_0128,A2,-0.06,0.01,100
STRESS_0128,A3,-0.01,0.92,100
STRESS_0128,A3,-0.02,0.86,100
STRESS_0128,A3,-0.03,0.65,100
STRESS_0128,A3,-0.04,0.54,100
STRESS_0128,A3,-0.05,0.37,100
STRESS_0128,A3,-0.06,0.29,100
STRESS_0129,A2,-0.01,0.16,100
STRESS_0129,A2,-0.02,0.1,100
STRESS_0129,A2,-0.03,0.06,100
STRESS_0129,A2,-0.04,0.05,100
STRESS_0129,A2,-0.05,0.04,100
STRESS_0129,A2,-0.06,0.03,100
STRESS_0129,A3,-0.01,0.99,100
STRESS_0129,A3,-0.02,0.93,100
STRESS_0129,A3,-0.03,0.88,100
STRESS_0129,A3,-0.04,0.75,100
STRESS_0129,A3,-0.05,0.56,100
STRESS_0129,A3,-0.06,0.43,100
STRESS_0130,A2,-0.01,0.1,100
STRESS_0130,A2,-0.02,0.06,100
STRESS_0130,A2,-0.03,0.04,100
STRESS_0130,A2,-0.04,0.01,100
STRESS_0130,A2,-0.05,0,100
STRESS_0130,A2,-0.06,0,100
STRESS_0130,A3,-0.01,0.94,100
STRESS_0130,A3,-0.02,0.9,100
STRESS_0130,A3,-0.03,0.79,100
STRESS_0130,A3,-0.04,0.63,100
STRESS_0130,A3,-0.05,0.51,100
STRESS_0130,A3,-0.06,0.4,100
STRESS_0131,A2,-0.01,0.1,100
STRESS_0131,A2,-0.02,0.09,100
STRESS_0131,A2,-0.03,0.06,100
STRESS_0131,A2,-0.04,0.03,100
STRESS_0131,A2,-0.05,0.01,100
STRESS_0131,A2,-0.06,0,100
STRESS_0131,A3,-0.01,0.83,100
STRESS_0131,A3,-0.02,0.68,100
STRESS_0131,A3,-0.03,0.54,100
STRESS_0131,A3,-0.04,0.38,100
STRESS_0131,A3,-0.05,0.26,100
STRESS_0131,A3,-0.06,0.16,100
STRESS_0132,A2,-0.01,0.13,100
STRESS_0132,A2,-0.02,0.1,100
STRESS_0132,A2,-0.03,0.08,100
STRESS_0132,A2,-0.04,0.07,100
STRESS_0132,A2,-0.05,0.05,100
STRESS_0132,A2,-0.06,0.03,100
STRESS_0132,A3,-0.01,0.98,100
STRESS_0132,A3,-0.02,0.96,100
STRESS_0132,A3,-0.03,0.85,100
STRESS_0132,A3,-0.04,0.76,100
STRESS_0132,A3,-0.05,0.63,100
STRESS_0132,A3,-0.06,0.48,100
STRESS_0133,A2,-0.01,0.14,100
STRESS_0133,A2,-0.02,0.13,100
STRESS_0133,A2,-0.03,0.12,100
STRESS_0133,A2,-0.04,0.07,100
STRESS_0133,A2,-0.05,0.04,100
STRESS_0133,A2,-0.06,0.04,100
STRESS_0133,A3,-0.01,0.89,100
STRESS_0133,A3,-0.02,0.82,100
STRESS_0133,A3,-0.03,0.67,100
STRESS_0133,A3,-0.04,0.54,100
STRESS_0133,A3,-0.05,0.45,100
STRESS_0133,A3,-0.06,0.32,100
STRESS_0134,A2,-0.01,0.07,100
STRESS_0134,A2,-0.02,0.06,100
STRESS_0134,A2,-0.03,0.06,100
STRESS_0134,A2,-0.04,0.03,100
STRESS_0134,A2,-0.05,0.03,100
STRESS_0134,A2,-0.06,0.03,100
STRESS_0134,A3,-0.01,0.78,100
STRESS_0134,A3,-0.02,0.71,100
STRESS_0134,A3,-0.03,0.56,100
STRESS_0134,A3,-0.04,0.41,100
STRESS_0134,A3,-0.05,0.3,100
STRESS_0134,A3,-0.06,0.2,100
STRESS_0135,A2,-0.01,0.18,100
STRESS_0135,A2,-0.02,0.12,100
STRESS_0135,A2,-0.03,0.09,100
STRESS_0135,A2,-0.04,0.06,100
STRESS_0135,A2,-0.05,0.04,100
STRESS_0135,A2,-0.06,0.02,100
STRESS_0135,A3,-0.01,0.91,100
STRESS_0135,A3,-0.02,0.79,100
STRESS_0135,A3,-0.03,0.74,100
STRESS_0135,A3,-0.04,0.59,100
STRESS_0135,A3,-0.05,0.42,100
STRESS_0135,A3,-0.06,0.29,100
STRESS_0136,A2,-0.01,0.21,100
STRESS_0136,A2,-0.02,0.14,100
STRESS_0136,A2,-0.03,0.07,100
STRESS_0136,A2,-0.04,0.06,100
STRESS_0136,A2,-0.05,0.05,100
STRESS_0136,A2,-0.06,0.02,100
STRESS_0136,A3,-0.01,1,100
STRESS_0136,A3,-0.02,1,100
STRESS_0136,A3,-0.03,0.99,100
STRESS_0136,A3,-0.04,0.98,100
STRESS_0136,A3,-0.05,0.92,100
STRESS_0136,A3,-0.06,0.88,100
STRESS_0137,A2,-0.01,0.12,100
STRESS_0137,A2,-0.02,0.06,100
STRESS_0137,A2,-0.03,0.02,100
STRESS_0137,A2,-0.04,0.01,100
STRESS_0137,A2,-0.05,0.01,100
STRESS_0137,A2,-0.06,0.01,100
STRESS_0137,A3,-0.01,0.98,100
STRESS_0137,A3,-0.02,0.98,100
STRESS_0137,A3,-0.03,0.97,100
STRESS_0137,A3,-0.04,0.95,100
STRESS_0137,A3,-0.05,0.92,100
STRESS_0137,A3,-0.06,0.91,100
STRESS_0138,A2,-0.01,0.26,100
STRESS_0138,A2,-0.02,0.2,100
STRESS_0138,A2,-0.03,0.15,100
STRESS_0138,A2,-0.04,0.09,100
STRESS_0138,A2,-0.05,0.07,100
STRESS_0138,A2,-0.06,0.06,100
STRESS_0138,A3,-0.01,0.92,100
STRESS_0138,A3,-0.02,0.85,100
STRESS_0138,A3,-0.03,0.72,100
STRESS_0138,A3,-0.04,0.6,100
STRESS_0138,A3,-0.05,0.46,100
STRESS_0138,A3,-0.06,0.31,100
STRESS_0139,A2,-0.01,0.18,100
STRESS_0139,A2,-0.02,0.14,100
STRESS_0139,A2,-0.03,0.11,100
STRESS_0139,A2,-0.04,0.09,100
STRESS_0139,A2,-0.05,0.06,100
STRESS_0139,A2,-0.06,0.03,100
STRESS_0139,A3,-0.01,1,100
STRESS_0139,A3,-0.02,0.99,100
STRESS_0139,A3,-0.03,0.99,100
STRESS_0139,A3,-0.04,0.96,100
STRESS_0139,A3,-0.05,0.89,100
STRESS_0139,A3,-0.06,0.83,100
STRESS_0140,A2,-0.01,0.23,100
STRESS_0140,A2,-0.02,0.14,100
STRESS_0140,A2,-0.03,0.07,100
STRESS_0140,A2,-0.04,0.05,100
STRESS_0140,A2,-0.05,0.03,100
STRESS_0140,A2,-0.06,0.02,100
STRESS_0140,A3,-0.01,0.99,100
STRESS_0140,A3,-0.02,0.99,100
STRESS_0140,A3,-0.03,0.99,100
STRESS_0140,A3,-0.04,0.98,100
STRESS_0140,A3,-0.05,0.97,100
STRESS_0140,A3,-0.06,0.96,100
STRESS_0141,A2,-0.01,0.27,100
STRESS_0141,A2,-0.02,0.17,100
STRESS_0141,A2,-0.03,0.12,100
STRESS_0141,A2,-0.04,0.08,100
STRESS_0141,A2,-0.05,0.07,100
STRESS_0141,A2,-0.06,0.03,100
STRESS_0141,A3,-0.01,0.82,100
STRESS_0141,A3,-0.02,0.73,100
STRESS_0141,A3,-0.03,0.59,100
STRESS_0141,A3,-0.04,0.41,100
STRESS_0141,A3,-0.05,0.26,100
STRESS_0141,A3,-0.06,0.17,100
STRESS_0142,A2,-0.01,0.35,100
STRESS_0142,A2,-0.02,0.27,100
STRESS_0142,A2,-0.03,0.2,100
STRESS_0142,A2,-0.04,0.15,100
STRESS_0142,A2,-0.05,0.09,100
STRESS_0142,A2,-0.06,0.07,100
STRESS_0142,A3,-0.01,0.97,100
STRESS_0142,A3,-0.02,0.95,100
STRESS_0142,A3,-0.03,0.93,100
STRESS_0142,A3,-0.04,0.87,100
STRESS_0142,A3,-0.05,0.8,100
STRESS_0142,A3,-0.06,0.72,100
STRESS_0143,A2,-0.01,0.39,100
STRESS_0143,A2,-0.02,0.3,100
STRESS_0143,A2,-0.03,0.25,100
STRESS_0143,A2,-0.04,0.19,100
STRESS_0143,A2,-0.05,0.13,100
STRESS_0143,A2,-0.06,0.1,100
STRESS_0143,A3,-0.01,0.97,100
STRESS_0143,A3,-0.02,0.97,100
STRESS_0143,A3,-0.03,0.95,100
STRESS_0143,A3,-0.04,0.94,100
STRESS_0143,A3,-0.05,0.87,100
STRESS_0143,A3,-0.06,0.83,100
STRESS_0144,A2,-0.01,0.28,100
STRESS_0144,A2,-0.02,0.14,100
STRESS_0144,A2,-0.03,0.06,100
STRESS_0144,A2,-0.04,0.04,100
STRESS_0144,A2,-0.05,0.03,100
STRESS_0144,A2,-0.06,0,100
STRESS_0144,A3,-0.01,0.13,100
STRESS_0144,A3,-0.02,0.07,100
STRESS_0144,A3,-0.03,0.02,100
STRESS_0144,A3,-0.04,0.02,100
STRESS_0144,A3,-0.05,0.01,100
STRESS_0144,A3,-0.06,0,100
STRESS_0145,A2,-0.01,0.4,100
STRESS_0145,A2,-0.02,0.26,100
STRESS_0145,A2,-0.03,0.15,100
STRESS_0145,A2,-0.04,0.12,100
STRESS_0145,A2,-0.05,0.08,100
STRESS_0145,A2,-0.06,0.05,100
STRESS_0145,A3,-0.01,0.17,100
STRESS_0145,A3,-0.02,0.11,100
STRESS_0145,A3,-0.03,0.04,100
STRESS_0145,A3,-0.04,0,100
STRESS_0145,A3,-0.05,0,100
STRESS_0145,A3,-0.06,0,100
STRESS_0146,A2,-0.01,0.43,100
STRESS_0146,A2,-0.02,0.33,100
STRESS_0146,A2,-0.03,0.23,100
STRESS_0146,A2,-0.04,0.15,100
STRESS_0146,A2,-0.05,0.09,100
STRESS_0146,A2,-0.06,0.04,100
STRESS_0146,A3,-0.01,0.21,100
STRESS_0146,A3,-0.02,0.1,100
STRESS_0146,A3,-0.03,0.05,100
STRESS_0146,A3,-0.04,0.02,100
STRESS_0146,A3,-0.05,0,100
STRESS_0146,A3,-0.06,0,100
STRESS_0147,A2,-0.01,0.32,100
STRESS_0147,A2,-0.02,0.21,100
STRESS_0147,A2,-0.03,0.11,100
STRESS_0147,A2,-0.04,0.06,100
STRESS_0147,A2,-0.05,0.04,100
STRESS_0147,A2,-0.06,0.01,100
STRESS_0147,A3,-0.01,0.11,100
STRESS_0147,A3,-0.02,0.04,100
STRESS_0147,A3,-0.03,0.02,100
STRESS_0147,A3,-0.04,0,100
STRESS_0147,A3,-0.05,0,100
STRESS_0147,A3,-0.06,0,100
STRESS_0148,A2,-0.01,0.37,100
STRESS_0148,A2,-0.02,0.28,100
STRESS_0148,A2,-0.03,0.19,100
STRESS_0148,A2,-0.04,0.14,100
STRESS_0148,A2,-0.05,0.09,100
STRESS_0148,A2,-0.06,0.06,100
STRESS_0148,A3,-0.01,0.22,100
STRESS_0148,A3,-0.02,0.13,100
STRESS_0148,A3,-0.03,0.03,100
STRESS_0148,A3,-0.04,0.01,100
STRESS_0148,A3,-0.05,0,100
STRESS_0148,A3,-0.06,0,100
STRESS_0149,A2,-0.01,0.29,100
STRESS_0149,A2,-0.02,0.23,100
STRESS_0149,A2,-0.03,0.17,100
STRESS_0149,A2,-0.04,0.08,100
STRESS_0149,A2,-0.05,0.05,100
STRESS_0149,A2,-0.06,0.03,100
STRESS_0149,A3,-0.01,0.14,100
STRESS_0149,A3,-0.02,0.09,100
STRESS_0149,A3,-0.03,0.06,100
STRESS_0149,A3,-0.04,0.03,100
STRESS_0149,A3,-0.05,0.01,100
STRESS_0149,A3,-0.06,0.01,100
STRESS_0150,A2,-0.01,0.35,100
STRESS_0150,A2,-0.02,0.24,100
STRESS_0150,A2,-0.03,0.14,100
STRESS_0150,A2,-0.04,0.07,100
STRESS_0150,A2,-0.05,0.04,100
STRESS_0150,A2,-0.06,0.01,100
STRESS_0150,A3,-0.01,0.15,100
STRESS_0150,A3,-0.02,0.11,100
STRESS_0150,A3,-0.03,0.03,100
STRESS_0150,A3,-0.04,0,100
STRESS_0150,A3,-0.05,0,100
STRESS_0150,A3,-0.06,0,100
STRESS_0151,A2,-0.01,0.35,100
STRESS_0151,A2,-0.02,0.23,100
STRESS_0151,A2,-0.03,0.18,100
STRESS_0151,A2,-0.04,0.12,100
STRESS_0151,A2,-0.05,0.05,100
STRESS_0151,A2,-0.06,0.03,100
STRESS_0151,A3,-0.01,0.16,100
STRESS_0151,A3,-0.02,0.12,100
STRESS_0151,A3,-0.03,0.06,100
STRESS_0151,A3,-0.04,0.01,100
STRESS_0151,A3,-0.05,0,100
STRESS_0151,A3,-0.06,0,100
STRESS_0152,A2,-0.01,0.34,100
STRESS_0152,A2,-0.02,0.24,100
STRESS_0152,A2,-0.03,0.17,100
STRESS_0152,A2,-0.04,0.12,100
STRESS_0152,A2,-0.05,0.06,100
STRESS_0152,A2,-0.06,0.04,100
STRESS_0152,A3,-0.01,0.2,100
STRESS_0152,A3,-0.02,0.12,100
STRESS_0152,A3,-0.03,0.06,100
STRESS_0152,A3,-0.04,0.01,100
STRESS_0152,A3,-0.05,0,100
STRESS_0152,A3,-0.06,0,100
STRESS_0153,A2,-0.01,0.32,100
STRESS_0153,A2,-0.02,0.22,100
STRESS_0153,A2,-0.03,0.11,100
STRESS_0153,A2,-0.04,0.07,100
STRESS_0153,A2,-0.05,0.05,100
STRESS_0153,A2,-0.06,0.02,100
STRESS_0153,A3,-0.01,0.17,100
STRESS_0153,A3,-0.02,0.11,100
STRESS_0153,A3,-0.03,0.05,100
STRESS_0153,A3,-0.04,0.03,100
STRESS_0153,A3,-0.05,0.01,100
STRESS_0153,A3,-0.06,0.01,100
STRESS_0154,A2,-0.01,0.43,100
STRESS_0154,A2,-0.02,0.33,100
STRESS_0154,A2,-0.03,0.24,100
STRESS_0154,A2,-0.04,0.17,100
STRESS_0154,A2,-0.05,0.12,100
STRESS_0154,A2,-0.06,0.06,100
STRESS_0154,A3,-0.01,0.25,100
STRESS_0154,A3,-0.02,0.17,100
STRESS_0154,A3,-0.03,0.09,100
STRESS_0154,A3,-0.04,0.07,100
STRESS_0154,A3,-0.05,0.03,100
STRESS_0154,A3,-0.06,0.03,100
STRESS_0155,A2,-0.01,0.36,100
STRESS_0155,A2,-0.02,0.25,100
STRESS_0155,A2,-0.03,0.17,100
STRESS_0155,A2,-0.04,0.09,100
STRESS_0155,A2,-0.05,0.06,100
STRESS_0155,A2,-0.06,0.02,100
STRESS_0155,A3,-0.01,0.52,100
STRESS_0155,A3,-0.02,0.38,100
STRESS_0155,A3,-0.03,0.19,100
STRESS_0155,A3,-0.04,0.09,100
STRESS_0155,A3,-0.05,0.07,100
STRESS_0155,A3,-0.06,0.03,100
STRESS_0156,A2,-0.01,0.37,100
STRESS_0156,A2,-0.02,0.2,100
STRESS_0156,A2,-0.03,0.13,100
STRESS_0156,A2,-0.04,0.08,100
STRESS_0156,A2,-0.05,0.04,100
STRESS_0156,A2,-0.06,0.01,100
STRESS_0156,A3,-0.01,0.21,100
STRESS_0156,A3,-0.02,0.12,100
STRESS_0156,A3,-0.03,0.07,100
STRESS_0156,A3,-0.04,0.04,100
STRESS_0156,A3,-0.05,0.01,100
STRESS_0156,A3,-0.06,0.01,100
STRESS_0157,A2,-0.01,0.39,100
STRESS_0157,A2,-0.02,0.32,100
STRESS_0157,A2,-0.03,0.23,100
STRESS_0157,A2,-0.04,0.16,100
STRESS_0157,A2,-0.05,0.12,100
STRESS_0157,A2,-0.06,0.04,100
STRESS_0157,A3,-0.01,0.29,100
STRESS_0157,A3,-0.02,0.17,100
STRESS_0157,A3,-0.03,0.13,100
STRESS_0157,A3,-0.04,0.06,100
STRESS_0157,A3,-0.05,0.02,100
STRESS_0157,A3,-0.06,0.01,100
STRESS_0158,A2,-0.01,0.33,100
STRESS_0158,A2,-0.02,0.22,100
STRESS_0158,A2,-0.03,0.13,100
STRESS_0158,A2,-0.04,0.09,100
STRESS_0158,A2,-0.05,0.03,100
STRESS_0158,A2,-0.06,0.01,100
STRESS_0158,A3,-0.01,0.46,100
STRESS_0158,A3,-0.02,0.35,100
STRESS_0158,A3,-0.03,0.23,100
STRESS_0158,A3,-0.04,0.14,100
STRESS_0158,A3,-0.05,0.07,100
STRESS_0158,A3,-0.06,0.05,100
STRESS_0159,A2,-0.01,0.35,100
STRESS_0159,A2,-0.02,0.27,100
STRESS_0159,A2,-0.03,0.19,100
STRESS_0159,A2,-0.04,0.13,100
STRESS_0159,A2,-0.05,0.11,100
STRESS_0159,A2,-0.06,0.07,100
STRESS_0159,A3,-0.01,0.25,100
STRESS_0159,A3,-0.02,0.17,100
STRESS_0159,A3,-0.03,0.09,100
STRESS_0159,A3,-0.04,0.05,100
STRESS_0159,A3,-0.05,0.02,100
STRESS_0159,A3,-0.06,0,100
STRESS_0160,A2,-0.01,0.37,100
STRESS_0160,A2,-0.02,0.29,100
STRESS_0160,A2,-0.03,0.19,100
STRESS_0160,A2,-0.04,0.09,100
STRESS_0160,A2,-0.05,0.05,100
STRESS_0160,A2,-0.06,0.01,100
STRESS_0160,A3,-0.01,0.26,100
STRESS_0160,A3,-0.02,0.16,100
STRESS_0160,A3,-0.03,0.08,100
STRESS_0160,A3,-0.04,0.05,100
STRESS_0160,A3,-0.05,0.01,100
STRESS_0160,A3,-0.06,0,100
STRESS_0161,A2,-0.01,0.4,100
STRESS_0161,A2,-0.02,0.27,100
STRESS_0161,A2,-0.03,0.17,100
STRESS_0161,A2,-0.04,0.11,100
