scenario_id,regime,transfer_regime,replicates,model,mean_uno_c,mean_delta_c_vs_B0,negative_transfer_rate,catastrophic_negative_transfer_rate,frozen_role,eligible_for_primary_selection
CORE_0010,R4,R4_NONTRANSPORTABLE,200,A0,0.5423395008,0.0003030547565,0,0,frozen non-selectable comparator,False
CORE_0010,R4,R4_NONTRANSPORTABLE,200,A1,0.5738428295,0.03180638218,0.125,0.075,frozen non-selectable comparator,False
CORE_0010,R4,R4_NONTRANSPORTABLE,200,A2,0.5475892098,0.005552760756,0.285,0.15,frozen selectable architecture,True
CORE_0010,R4,R4_NONTRANSPORTABLE,200,A3,0.4990242697,-0.04301217414,0.84,0.35,frozen selectable architecture,True
CORE_0010,R4,R4_NONTRANSPORTABLE,200,A4,0.475824264,-0.06621218226,0.955,0.73,frozen non-selectable comparator,False
CORE_0010,R4,R4_NONTRANSPORTABLE,200,B0,0.5420364445,0,0,0,frozen target-only reference,False
CORE_0010,R4,R4_NONTRANSPORTABLE,200,B4,0.5094630323,-0.03257341377,0.875,0.105,frozen non-selectable comparator,False
CORE_0011,R5,R5_MISLEADING_SOURCE,200,A0,0.5681434363,-0.0002946549498,0,0,frozen non-selectable comparator,False
CORE_0011,R5,R5_MISLEADING_SOURCE,200,A1,0.6465443534,0.07810626107,0.045,0.035,frozen non-selectable comparator,False
CORE_0011,R5,R5_MISLEADING_SOURCE,200,A2,0.6190596907,0.05062160075,0.11,0.065,frozen selectable architecture,True
CORE_0011,R5,R5_MISLEADING_SOURCE,200,A3,0.4896720478,-0.07876604253,0.985,0.84,frozen selectable architecture,True
CORE_0011,R5,R5_MISLEADING_SOURCE,200,A4,0.4554239345,-0.1130141577,1,0.975,frozen non-selectable comparator,False
CORE_0011,R5,R5_MISLEADING_SOURCE,200,B0,0.5684380931,0,0,0,frozen target-only reference,False
CORE_0011,R5,R5_MISLEADING_SOURCE,200,B4,0.5097068539,-0.05873123586,0.995,0.66,frozen non-selectable comparator,False
CORE_0012,R0,R0_FULLY_TRANSPORTABLE,200,A0,0.5726583374,-0.000444336734,0,0,frozen non-selectable comparator,False
CORE_0012,R0,R0_FULLY_TRANSPORTABLE,200,A1,0.6070372009,0.03393452624,0.175,0.155,frozen non-selectable comparator,False
CORE_0012,R0,R0_FULLY_TRANSPORTABLE,200,A2,0.6183208477,0.04521817225,0.09,0.045,frozen selectable architecture,True
CORE_0012,R0,R0_FULLY_TRANSPORTABLE,200,A3,0.6256050014,0.0525023283,0.015,0,frozen selectable architecture,True
CORE_0012,R0,R0_FULLY_TRANSPORTABLE,200,A4,0.6306460965,0.05754342305,0,0,frozen non-selectable comparator,False
CORE_0012,R0,R0_FULLY_TRANSPORTABLE,200,B0,0.5731026742,0,0,0,frozen target-only reference,False
CORE_0012,R0,R0_FULLY_TRANSPORTABLE,200,B4,0.605332991,0.03223031804,0,0,frozen non-selectable comparator,False
CORE_0013,R1,R1_MOSTLY_TRANSPORTABLE,200,A0,0.544734264,0.0002300123311,0,0,frozen non-selectable comparator,False
CORE_0013,R1,R1_MOSTLY_TRANSPORTABLE,200,A1,0.5401882412,-0.004316008304,0.34,0.295,frozen non-selectable comparator,False
CORE_0013,R1,R1_MOSTLY_TRANSPORTABLE,200,A2,0.5677537352,0.02324948583,0.165,0.09,frozen selectable architecture,True
CORE_0013,R1,R1_MOSTLY_TRANSPORTABLE,200,A3,0.5914278266,0.04692357505,0.015,0,frozen selectable architecture,True
CORE_0013,R1,R1_MOSTLY_TRANSPORTABLE,200,A4,0.5869060545,0.04240180263,0.01,0,frozen non-selectable comparator,False
CORE_0013,R1,R1_MOSTLY_TRANSPORTABLE,200,B0,0.5445042463,0,0,0,frozen target-only reference,False
CORE_0013,R1,R1_MOSTLY_TRANSPORTABLE,200,B4,0.5684735535,0.02396930292,0,0,frozen non-selectable comparator,False
CORE_0014,R2,R2_PARTIALLY_TRANSPORTABLE,200,A0,0.5207737,-8.557462525e-06,0,0,frozen non-selectable comparator,False
CORE_0014,R2,R2_PARTIALLY_TRANSPORTABLE,200,A1,0.501505474,-0.01927678555,0.525,0.28,frozen non-selectable comparator,False
CORE_0014,R2,R2_PARTIALLY_TRANSPORTABLE,200,A2,0.5202265635,-0.0005556956296,0.335,0.07,frozen selectable architecture,True
CORE_0014,R2,R2_PARTIALLY_TRANSPORTABLE,200,A3,0.5468785252,0.02609626444,0.05,0,frozen selectable architecture,True
CORE_0014,R2,R2_PARTIALLY_TRANSPORTABLE,200,A4,0.5360626005,0.01528034071,0.105,0.005,frozen non-selectable comparator,False
CORE_0014,R2,R2_PARTIALLY_TRANSPORTABLE,200,B0,0.5207822615,0,0,0,frozen target-only reference,False
CORE_0014,R2,R2_PARTIALLY_TRANSPORTABLE,200,B4,0.5299534148,0.009171154454,0.005,0,frozen non-selectable comparator,False
CORE_0015,R3,R3_WEAKLY_TRANSPORTABLE,200,A0,0.5291847321,-0.0001499350237,0,0,frozen non-selectable comparator,False
CORE_0015,R3,R3_WEAKLY_TRANSPORTABLE,200,A1,0.5208714278,-0.008463239369,0.39,0.145,frozen non-selectable comparator,False
CORE_0015,R3,R3_WEAKLY_TRANSPORTABLE,200,A2,0.5181669918,-0.01116767632,0.385,0.145,frozen selectable architecture,True
CORE_0015,R3,R3_WEAKLY_TRANSPORTABLE,200,A3,0.5232966806,-0.006037985908,0.255,0.045,frozen selectable architecture,True
CORE_0015,R3,R3_WEAKLY_TRANSPORTABLE,200,A4,0.5077857326,-0.02154893613,0.535,0.1,frozen non-selectable comparator,False
CORE_0015,R3,R3_WEAKLY_TRANSPORTABLE,200,B0,0.5293346699,0,0,0,frozen target-only reference,False
CORE_0015,R3,R3_WEAKLY_TRANSPORTABLE,200,B4,0.5210621983,-0.008272468801,0.105,0.005,frozen non-selectable comparator,False
CORE_0016,R4,R4_NONTRANSPORTABLE,200,A0,0.5507679647,0.0003372188147,0,0,frozen non-selectable comparator,False
CORE_0016,R4,R4_NONTRANSPORTABLE,200,A1,0.579137564,0.02870681854,0.125,0.025,frozen non-selectable comparator,False
CORE_0016,R4,R4_NONTRANSPORTABLE,200,A2,0.5518570116,0.001426265921,0.355,0.125,frozen selectable architecture,True
CORE_0016,R4,R4_NONTRANSPORTABLE,200,A3,0.5115361738,-0.03889457231,0.81,0.305,frozen selectable architecture,True
CORE_0016,R4,R4_NONTRANSPORTABLE,200,A4,0.4896668379,-0.06076390661,0.92,0.63,frozen non-selectable comparator,False
CORE_0016,R4,R4_NONTRANSPORTABLE,200,B0,0.5504307441,0,0,0,frozen target-only reference,False
CORE_0016,R4,R4_NONTRANSPORTABLE,200,B4,0.5260185944,-0.02441215156,0.655,0.02,frozen non-selectable comparator,False
CORE_0017,R5,R5_MISLEADING_SOURCE,200,A0,0.5814507909,9.246181682e-05,0,0,frozen non-selectable comparator,False
CORE_0017,R5,R5_MISLEADING_SOURCE,200,A1,0.6605041818,0.07914585334,0.03,0.025,frozen non-selectable comparator,False
CORE_0017,R5,R5_MISLEADING_SOURCE,200,A2,0.6367406556,0.05538233005,0.065,0.03,frozen selectable architecture,True
CORE_0017,R5,R5_MISLEADING_SOURCE,200,A3,0.5183508131,-0.06300751418,0.95,0.66,frozen selectable architecture,True
CORE_0017,R5,R5_MISLEADING_SOURCE,200,A4,0.4779100198,-0.1034483078,1,0.975,frozen non-selectable comparator,False
CORE_0017,R5,R5_MISLEADING_SOURCE,200,B0,0.5813583277,0,0,0,frozen target-only reference,False
CORE_0017,R5,R5_MISLEADING_SOURCE,200,B4,0.5386113174,-0.04274701011,0.985,0.3,frozen non-selectable comparator,False
CORE_0018,R0,R0_FULLY_TRANSPORTABLE,200,A0,0.5818033044,0.000264871277,0,0,frozen non-selectable comparator,False
CORE_0018,R0,R0_FULLY_TRANSPORTABLE,200,A1,0.6091503181,0.02761188559,0.15,0.135,frozen non-selectable comparator,False
CORE_0018,R0,R0_FULLY_TRANSPORTABLE,200,A2,0.6262334034,0.04469497055,0.065,0.02,frozen selectable architecture,True
CORE_0018,R0,R0_FULLY_TRANSPORTABLE,200,A3,0.618797237,0.03725880204,0.03,0.01,frozen selectable architecture,True
CORE_0018,R0,R0_FULLY_TRANSPORTABLE,200,A4,0.6274980494,0.04595961634,0,0,frozen non-selectable comparator,False
CORE_0018,R0,R0_FULLY_TRANSPORTABLE,200,B0,0.5815384354,0,0,0,frozen target-only reference,False
CORE_0018,R0,R0_FULLY_TRANSPORTABLE,200,B4,0.6047557695,0.02321733601,0,0,frozen non-selectable comparator,False
CORE_0019,R1,R1_MOSTLY_TRANSPORTABLE,200,A0,0.5503429034,-0.000350745383,0,0,frozen non-selectable comparator,False
CORE_0019,R1,R1_MOSTLY_TRANSPORTABLE,200,A1,0.55061865,-7.500084292e-05,0.295,0.24,frozen non-selectable comparator,False
CORE_0019,R1,R1_MOSTLY_TRANSPORTABLE,200,A2,0.5772947329,0.02660108523,0.13,0.06,frozen selectable architecture,True
CORE_0019,R1,R1_MOSTLY_TRANSPORTABLE,200,A3,0.5891953382,0.03850168883,0.025,0,frozen selectable architecture,True
CORE_0019,R1,R1_MOSTLY_TRANSPORTABLE,200,A4,0.5875956996,0.03690205219,0.005,0,frozen non-selectable comparator,False
CORE_0019,R1,R1_MOSTLY_TRANSPORTABLE,200,B0,0.550693648,0,0,0,frozen target-only reference,False
CORE_0019,R1,R1_MOSTLY_TRANSPORTABLE,200,B4,0.5685282715,0.01783462017,0,0,frozen non-selectable comparator,False
CORE_0020,R2,R2_PARTIALLY_TRANSPORTABLE,200,A0,0.5242503655,-0.000298166052,0,0,frozen non-selectable comparator,False
CORE_0020,R2,R2_PARTIALLY_TRANSPORTABLE,200,A1,0.5091603087,-0.01538822503,0.465,0.295,frozen non-selectable comparator,False
CORE_0020,R2,R2_PARTIALLY_TRANSPORTABLE,200,A2,0.5247664273,0.0002178938814,0.29,0.11,frozen selectable architecture,True
CORE_0020,R2,R2_PARTIALLY_TRANSPORTABLE,200,A3,0.5482814085,0.02373287495,0.06,0,frozen selectable architecture,True
CORE_0020,R2,R2_PARTIALLY_TRANSPORTABLE,200,A4,0.5392055096,0.0146569743,0.075,0.005,frozen non-selectable comparator,False
CORE_0020,R2,R2_PARTIALLY_TRANSPORTABLE,200,B0,0.5245485328,0,0,0,frozen target-only reference,False
CORE_0020,R2,R2_PARTIALLY_TRANSPORTABLE,200,B4,0.531170812,0.006622276809,0,0,frozen non-selectable comparator,False
