scenario_id	scenario_class	family	transfer_regime	regime	replicates
STRESS_0045	STRESS	MAPPING_PRIOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0046	STRESS	MAPPING_PRIOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0047	STRESS	MAPPING_PRIOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0048	STRESS	MAPPING_PRIOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0049	STRESS	MAPPING_PRIOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0050	STRESS	MAPPING_PRIOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0051	STRESS	MAPPING_PRIOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0052	STRESS	MAPPING_PRIOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0053	STRESS	MAPPING_PRIOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0054	STRESS	SHIFT_CENSOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0055	STRESS	SHIFT_CENSOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0056	STRESS	SHIFT_CENSOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0057	STRESS	SHIFT_CENSOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0058	STRESS	SHIFT_CENSOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0059	STRESS	SHIFT_CENSOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0060	STRESS	SHIFT_CENSOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0061	STRESS	SHIFT_CENSOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0062	STRESS	SHIFT_CENSOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0063	STRESS	MAPPING_PRIOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0064	STRESS	MAPPING_PRIOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0065	STRESS	MAPPING_PRIOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0066	STRESS	MAPPING_PRIOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0067	STRESS	MAPPING_PRIOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0068	STRESS	MAPPING_PRIOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0069	STRESS	MAPPING_PRIOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0070	STRESS	MAPPING_PRIOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0071	STRESS	MAPPING_PRIOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0072	STRESS	SHIFT_CENSOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0073	STRESS	SHIFT_CENSOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0074	STRESS	SHIFT_CENSOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0075	STRESS	SHIFT_CENSOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0076	STRESS	SHIFT_CENSOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0077	STRESS	SHIFT_CENSOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0078	STRESS	SHIFT_CENSOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0079	STRESS	SHIFT_CENSOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0080	STRESS	SHIFT_CENSOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0081	STRESS	MAPPING_PRIOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0082	STRESS	MAPPING_PRIOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0083	STRESS	MAPPING_PRIOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0084	STRESS	MAPPING_PRIOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0085	STRESS	MAPPING_PRIOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0086	STRESS	MAPPING_PRIOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0087	STRESS	MAPPING_PRIOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0088	STRESS	MAPPING_PRIOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0089	STRESS	MAPPING_PRIOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0090	STRESS	SHIFT_CENSOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0091	STRESS	SHIFT_CENSOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0092	STRESS	SHIFT_CENSOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0093	STRESS	SHIFT_CENSOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0094	STRESS	SHIFT_CENSOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0095	STRESS	SHIFT_CENSOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0096	STRESS	SHIFT_CENSOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0097	STRESS	SHIFT_CENSOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0098	STRESS	SHIFT_CENSOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0099	STRESS	MAPPING_PRIOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0100	STRESS	MAPPING_PRIOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0101	STRESS	MAPPING_PRIOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0102	STRESS	MAPPING_PRIOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0103	STRESS	MAPPING_PRIOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0104	STRESS	MAPPING_PRIOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0105	STRESS	MAPPING_PRIOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0106	STRESS	MAPPING_PRIOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0107	STRESS	MAPPING_PRIOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0108	STRESS	SHIFT_CENSOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0109	STRESS	SHIFT_CENSOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0110	STRESS	SHIFT_CENSOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0111	STRESS	SHIFT_CENSOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0112	STRESS	SHIFT_CENSOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0113	STRESS	SHIFT_CENSOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0114	STRESS	SHIFT_CENSOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0115	STRESS	SHIFT_CENSOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0116	STRESS	SHIFT_CENSOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0117	STRESS	MAPPING_PRIOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0118	STRESS	MAPPING_PRIOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0119	STRESS	MAPPING_PRIOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0120	STRESS	MAPPING_PRIOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0121	STRESS	MAPPING_PRIOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0122	STRESS	MAPPING_PRIOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0123	STRESS	MAPPING_PRIOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0124	STRESS	MAPPING_PRIOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0125	STRESS	MAPPING_PRIOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0126	STRESS	SHIFT_CENSOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0127	STRESS	SHIFT_CENSOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0128	STRESS	SHIFT_CENSOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0129	STRESS	SHIFT_CENSOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0130	STRESS	SHIFT_CENSOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0131	STRESS	SHIFT_CENSOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0132	STRESS	SHIFT_CENSOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0133	STRESS	SHIFT_CENSOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0134	STRESS	SHIFT_CENSOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0135	STRESS	MAPPING_PRIOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0136	STRESS	MAPPING_PRIOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0137	STRESS	MAPPING_PRIOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0138	STRESS	MAPPING_PRIOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0139	STRESS	MAPPING_PRIOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0140	STRESS	MAPPING_PRIOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0141	STRESS	MAPPING_PRIOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0142	STRESS	MAPPING_PRIOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0143	STRESS	MAPPING_PRIOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0144	STRESS	SHIFT_CENSOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0145	STRESS	SHIFT_CENSOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0146	STRESS	SHIFT_CENSOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0147	STRESS	SHIFT_CENSOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0148	STRESS	SHIFT_CENSOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0149	STRESS	SHIFT_CENSOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0150	STRESS	SHIFT_CENSOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0151	STRESS	SHIFT_CENSOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0152	STRESS	SHIFT_CENSOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0153	STRESS	MAPPING_PRIOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0154	STRESS	MAPPING_PRIOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0155	STRESS	MAPPING_PRIOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0156	STRESS	MAPPING_PRIOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0157	STRESS	MAPPING_PRIOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0158	STRESS	MAPPING_PRIOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0159	STRESS	MAPPING_PRIOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0160	STRESS	MAPPING_PRIOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0161	STRESS	MAPPING_PRIOR_STRESS	R2_PARTIALLY_TRANSPORTABLE	R2	100
STRESS_0162	STRESS	SHIFT_CENSOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0163	STRESS	SHIFT_CENSOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0164	STRESS	SHIFT_CENSOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0165	STRESS	SHIFT_CENSOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0166	STRESS	SHIFT_CENSOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0167	STRESS	SHIFT_CENSOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0168	STRESS	SHIFT_CENSOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0169	STRESS	SHIFT_CENSOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0170	STRESS	SHIFT_CENSOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0171	STRESS	MAPPING_PRIOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0172	STRESS	MAPPING_PRIOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0173	STRESS	MAPPING_PRIOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0174	STRESS	MAPPING_PRIOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0175	STRESS	MAPPING_PRIOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0176	STRESS	MAPPING_PRIOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0177	STRESS	MAPPING_PRIOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0178	STRESS	MAPPING_PRIOR_STRESS	R5_MISLEADING_SOURCE	R5	100
STRESS_0179	STRESS	MAPPING_PRIOR_STRESS	R5_MISLEADING_SOURCE	R5	100
