repeat	outer_fold	model_id	n_train	events_train	n_test	events_test	ibs	ibs_status	ibs_grid_n	ibs_grid_min	ibs_grid_max	km_survival_at_grid_start	km_survival_at_grid_end	zero_time_case_in_train	zero_time_case_in_test
13	2	KM_NULL	69	23	17	6	0.185595788734	PASS	19	384.136842105	1333.4	0.926011029412	0.699406239554	True	False
13	3	KM_NULL	69	23	17	6	0.147928617968	PASS	20	362.6	1371.8	0.925791855204	0.713214410226	True	False
13	4	KM_NULL	69	23	17	6	0.203701172111	PASS	20	460.8	1333.4	0.926437515665	0.705535301894	False	True
14	0	KM_NULL	68	23	18	6	0.174553745583	PASS	20	377	1333.4	0.926470588235	0.705526584803	False	True
14	1	KM_NULL	69	24	17	5	0.153263948886	PASS	20	407.6	1242.6	0.925302277279	0.684797407596	True	False
14	2	KM_NULL	69	23	17	6	0.141883498047	PASS	18	414.326315789	1251.8	0.895890778186	0.708090595736	True	False
14	3	KM_NULL	69	23	17	6	0.140509641071	PASS	19	368.578947368	1037.8	0.926011029412	0.701025376323	True	False
14	4	KM_NULL	69	23	17	6	0.209646154317	PASS	20	435.6	1333.4	0.92555101445	0.695705163831	True	False
15	0	KM_NULL	68	23	18	6	0.170111027575	PASS	19	380.936842105	1553.4	0.90973702914	0.703467125976	True	False
15	1	KM_NULL	69	24	17	5	0.187480885245	PASS	20	370.4	1540.6	0.925791855204	0.680614540492	True	False
15	2	KM_NULL	69	23	17	6	0.211527528883	PASS	20	513.6	1553.4	0.925694510869	0.70624936712	False	True
15	3	KM_NULL	69	23	17	6	0.178878022097	PASS	20	457.2	1037.8	0.925302277279	0.699047182953	True	False
15	4	KM_NULL	69	23	17	6	0.088843175355	PASS	20	315.8	896	0.926470588235	0.701524599283	True	False
16	0	KM_NULL	68	23	18	6	0.170859664796	PASS	20	435.6	1037.8	0.924168221393	0.692214350439	True	False
16	1	KM_NULL	69	24	17	5	0.149192228085	PASS	19	374.431578947	1242.6	0.911075367647	0.684019315852	True	False
16	2	KM_NULL	69	23	17	6	0.201281069286	PASS	20	377	1553.4	0.925791855204	0.703580507619	True	False
16	3	KM_NULL	69	23	17	6	0.175427895536	PASS	20	400.4	1371.8	0.925302277279	0.705143693809	True	False
16	4	KM_NULL	69	23	17	6	0.115407871538	PASS	20	362.6	970.6	0.927536231884	0.708412497129	False	True
17	0	KM_NULL	68	23	18	6	0.23102351105	PASS	20	377	1553.4	0.924673507463	0.682413629207	True	False
17	1	KM_NULL	69	24	17	5	0.0606289877348	PASS	20	326.2	954.4	0.926470588235	0.697284462582	True	False
17	2	KM_NULL	69	23	17	6	0.193494132967	PASS	20	439.2	1371.8	0.926196506946	0.706946093373	False	True
17	3	KM_NULL	69	23	17	6	0.0796640117856	PASS	18	385.652631579	979.4	0.911075367647	0.710855625473	True	False
17	4	KM_NULL	69	23	17	6	0.230003285657	PASS	20	457.2	1553.4	0.92504743833	0.692700317548	True	False
18	0	KM_NULL	68	23	18	6	0.154794768521	PASS	20	400.4	1037.8	0.924168221393	0.693738505421	True	False
18	1	KM_NULL	69	24	17	5	0.12305304017	PASS	20	370.4	1026.2	0.926011029412	0.683093992	True	False
18	2	KM_NULL	69	23	17	6	0.178807667455	PASS	19	380.936842105	1553.4	0.911075367647	0.708381870212	True	False
18	3	KM_NULL	69	23	17	6	0.163748666582	PASS	20	435.6	1037.8	0.926237161531	0.708187984452	True	False
18	4	KM_NULL	69	23	17	6	0.210745726186	PASS	20	377	1553.4	0.926877470356	0.695852570997	False	True
19	0	KM_NULL	68	23	18	6	0.218504345971	PASS	20	513.6	1333.4	0.924571595388	0.684967762843	False	True
19	1	KM_NULL	69	24	17	5	0.164161932864	PASS	20	370.4	1268.2	0.925791855204	0.681661356417	True	False
19	2	KM_NULL	69	23	17	6	0.129231007134	PASS	14	543.8	1037.8	0.832456205911	0.711462598581	True	False
19	3	KM_NULL	69	23	17	6	0.209060505021	PASS	20	457.2	1553.4	0.925996204934	0.701990212596	True	False
19	4	KM_NULL	69	23	17	6	0.114416391841	PASS	18	384.726315789	970.6	0.911075367647	0.707829899266	True	False
