relative_path,sheet,rows,columns,file_size_bytes,best_cotc_source,cotc_nonempty,unique_cotc,selected186_overlap,selected186_missing,selected186_overlap_fraction,parent_candidate
results/tables/multigroup_mofa_fits/four_cohort_detection_aware/mofa_k8_weights.csv,__table__,438,7,34216,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_fits/four_cohort_detection_aware/stacked_pca_k12_loadings.csv,__table__,438,13,113110,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_fits/four_cohort_detection_aware/stacked_pca_k16_loadings.csv,__table__,438,17,149903,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_fits/four_cohort_detection_aware/stacked_pca_k8_loadings.csv,__table__,438,9,76303,__index__,0,0,0,186,0.0,False
results/tables/Ammons_scRNA_six_dog_celltype_pseudobulk_scores.csv,__table__,430,24,153024,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_fits/four_cohort_core_plus_frozen/mofa_k12_factors.csv,__table__,364,10,42418,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_fits/four_cohort_core_plus_frozen/mofa_k16_factors.csv,__table__,364,13,54427,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_fits/four_cohort_core_plus_frozen/mofa_k8_factors.csv,__table__,364,8,34360,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_fits/four_cohort_detection_aware/mofa_k12_factors.csv,__table__,364,10,42624,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_fits/four_cohort_detection_aware/mofa_k16_factors.csv,__table__,364,11,46557,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_fits/four_cohort_detection_aware/mofa_k8_factors.csv,__table__,364,8,34548,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variable_only_fits/four_cohort_detection_aware_variable_only_700/mofa_k12_factors.csv,__table__,364,10,42328,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variable_only_fits/four_cohort_detection_aware_variable_only_700/mofa_k16_factors.csv,__table__,364,13,54486,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variable_only_fits/four_cohort_detection_aware_variable_only_700/mofa_k8_factors.csv,__table__,364,8,34421,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variable_only_fits/four_cohort_variable_only_1500/mofa_k12_factors.csv,__table__,364,12,50434,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variable_only_fits/four_cohort_variable_only_1500/mofa_k16_factors.csv,__table__,364,15,62592,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variable_only_fits/four_cohort_variable_only_1500/mofa_k8_factors.csv,__table__,364,9,38328,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variable_only_frozen_module_factor_alignment.csv,__table__,340,14,63382,__index__,0,0,0,186,0.0,False
paper5/data_manifest/TARGET_OS_technical_metadata/TARGET_OS_technical_metadata_key_inventory.csv,__table__,338,8,45017,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_fits/three_cohort_no_ffpe/mofa_k12_factors.csv,__table__,327,11,41690,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_fits/three_cohort_no_ffpe/mofa_k16_factors.csv,__table__,327,12,45123,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_fits/three_cohort_no_ffpe/mofa_k8_factors.csv,__table__,327,8,30956,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variable_only_fits/three_cohort_no_ffpe_variable_only_1500/mofa_k12_factors.csv,__table__,327,12,45224,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variable_only_fits/three_cohort_no_ffpe_variable_only_1500/mofa_k16_factors.csv,__table__,327,15,56171,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variable_only_fits/three_cohort_no_ffpe_variable_only_1500/mofa_k8_factors.csv,__table__,327,9,34392,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variable_only_variance_explained.csv,__table__,310,6,25177,__index__,0,0,0,186,0.0,False
results/tables/GSE239948_external_module_gene_leave_one_out.csv,__table__,272,4,9323,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_frozen_module_factor_alignment.csv,__table__,269,11,41041,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variance_explained.csv,__table__,267,6,18440,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variable_only_factor_activity.csv,__table__,255,16,65871,__index__,0,0,0,186,0.0,False
results/tables/GSE238110_meta_proliferation_gene_set.csv,__table__,251,4,10054,__index__,0,0,0,186,0.0,False
